Text No.,Sentence No.,English source,Professional translation,Student translation,MT0 = M2M100 1.2B,MT1 = Google translate ,MT2 = Microsoft Bing translator
Text 1,s1,You may be suffering lovesickness.,شاید به غم عشق مبتلا هستید. ,شاید  از بیماری عشق رنج می‌برید. ,شما ممکن است از عشق رنج می برید.,شما ممکن است از بیماری عشق رنج ببرید.,شايد از عشق رنج مي بري
Text 1,s2,Falling in love used to be fun.,عاشق‌شدن زمانی لذت‌بخش بود. ,در گذشته عاشق شدن جذاب‌تر بود. ,عاشق شدن همیشه سرگرم کننده بود.,عاشق شدن قبلا سرگرم کننده بود.,عاشق شدن قبلا ً سرگرم کننده بود.
Text 1,s3,Now doctors are warning that the throes of passion should be seen as a potentially fatal medical disorder.,"اکنون پزشکان هشدار می‌دهند شور عاشقی 
باید به عنوان یک اختلال پزشکی بالقوه
 مرگبار در نظر گرفته شود.",امروزه پزشکان هشدار می‌دهند که باید به شور عاشقی به عنوان یک اختلال پزشکی بالقوه کشنده نگاه کرد. ,در حال حاضر پزشکان هشدار می دهند که سوزن هیجان باید به عنوان یک اختلال پزشکی بالقوه مرگبار دیده شود.,اکنون پزشکان هشدار می دهند که شور و شوق باید به عنوان یک اختلال پزشکی بالقوه کشنده دیده شود.,در حال حاضر پزشکان هشدار می دهند که throes از شور باید به عنوان یک اختلال پزشکی بالقوه کشنده دیده می شود.
Text 1,s4,"Psychologists say that ""lovesickness"" is a genuine disease that needs more awareness and diagnosis.","روانشناسان می‌گویند «غم عشق» یک بیماری واقعی
 است که نیاز به آگاهی‌بخشی و تشخیص بیشتری دارد. ",روانشناسان می‌گویند که بیماری عشق یک بیماری واقعی است که نیاز به آگاهی و تشخیص بیشتری دارد.,"روانشناسان می گویند که ""مردی عشق"" یک بیماری واقعی است که نیاز به آگاهی و تشخیص بیشتر دارد.",روانشناسان می گویند که «عشق» یک بیماری اصیل است که نیاز به آگاهی و تشخیص بیشتری دارد.,روانشناسان می گویند که «عشق بازی» یک بیماری واقعی است که نیاز به آگاهی و تشخیص بیشتری دارد.
Text 1,s5,"And those little actions that are normally seen as symptoms of the first flush of love, buying presents, waiting by the phone for a call or making a bit of an effort before a date, may actually be signs of deep-rooted problems to come.","و کارهایی کوچک که معمولاً به عنوان نشانه‌هایی
 از اولین فوران عشق در نظر گرفته می‌شوند: 
مثل خرید هدایا، انتظار برای تماس تلفنی یا جنب و جوش
 قبل از قرار عاشقانه، ممکن است در عمل نشانه 
مشکلات ریشه‌ای عمیق در آینده باشد.","و کارهای کوچکی که معمولا به عنوان نشانه‌های اولین فوران عشق دیده می‌شوند مثل هدیه خریدن، به تلفن نگاه کردن و منتظر تماس بودن یا جنب و جوش قبل از ملاقات عاشقانه ، ممکن است واقعا نشانه‌های مشکلات ریشه‌ای عمیقی باشند که در آینده اتفاق می‌افتند. ","و آن فعالیت های کوچک که معمولا به عنوان علائم اولین رنج عشق، خرید هدیه، منتظر تلفن برای یک تماس یا انجام کمی تلاش قبل از یک تاریخ دیده می شود، ممکن است در واقع نشانه های مشکلات عمیق وجود دارد.","و آن اقدامات کوچکی که معمولاً به عنوان علائم اولین فلاش عشق دیده می شوند، خرید هدایا، انتظار تلفنی برای تماس یا کمی تلاش قبل از قرار ملاقات، ممکن است در واقع نشانه مشکلات ریشه ای در آینده باشد.","و آن اقدامات کوچکی که به طور معمول به عنوان علائم اولین برافروختن عشق دیده می شوند، هدیه می خرند، در انتظار تلفن برای تماس یا کمی تلاش قبل از یک تاریخ، در واقع ممکن است نشانه هایی از مشکلات ریشه دار برای آمدن باشند."
Text 1,s6,"Frank Tallis, a clinical psychologist in London, examined the historical attitudes to love and mental illness.","فرانک تالیس، روانشناس بالینی در لندن، نگرش‌های 
تاریخی به عشق و بیماری روانی را بررسی کرد. ","فرانک تالیس، روانشناس بالینی در لندن، نگاه تاریخی به عشق و بیماری‌های روانی‌ را بررسی کرد.","فرانک تالیس، روانشناس کلینیک در لندن، رفتار تاریخی نسبت به عشق و بیماری های روانی را بررسی کرد.","فرانک تالیس، روانشناس بالینی در لندن، نگرش تاریخی به عشق و بیماری روانی را بررسی کرد.","فرانک تالیس، روانشناس بالینی در لندن، نگرش های تاریخی به عشق و بیماری روانی را مورد بررسی قرار داد."
Text 1,s7,"Before the 18th century, lovesickness had for thousands of years been accepted a recognised ailment.","قبل از قرن هجدهم، برای هزاران سال غم عشق به عنوان یک بیماری شناخته‌شده پذیرفته شده بود. ","قبل از قرن هجدهم، بیماری عشق برای هزاران سال به عنوان یک بیماری‌ شناخته شده پذیرفته شده بود. ","قبل از قرن ۱۸، بیماری عشق برای هزاران سال به عنوان یک بیماری شناخته شده پذیرفته شده بود.","قبل از قرن هجدهم، دلتنگی برای هزاران سال به عنوان یک بیماری شناخته شده پذیرفته شده بود.","قبل از قرن ۱۸، عشق بازی هزاران سال بود که یک بیماری به رسمیت شناخته شده پذیرفته شده بود."
Text 1,s8,"But for the past 200 years it has been out of favour with medical practitioners as a proper diagnosis, Dr Tallis said in a report in The Psychologist magazine.","دکتر تالیس در گزارشی در مجله The Psychologist (روانشناس) اظهار داشت در طول ۲۰۰ سال گذشته، این مسئله به عنوان یک تشخیص در خور توجه اطباء قرار نگرفته است.","اما دکتر تالیس در گزارشی در مجله The Psychologist بیان کرد که در طول دویست سال گذشته، پزشکان به عنوان یک تشخیص به آن توجهی نکردند. ","اما در طول 200 سال گذشته، آن را با متخصصان پزشکی به عنوان یک تشخیص مناسب نادیده گرفته است، دکتر Tallis در یک گزارش در مجله روانشناسی گفت.","دکتر تالیس در گزارشی در مجله The Psychologist گفت، اما برای 200 سال گذشته، به عنوان یک تشخیص مناسب مورد توجه پزشکان قرار نگرفته است.","اما در 200 سال گذشته آن را از نفع پزشکان پزشکی به عنوان یک تشخیص مناسب بوده است، دکتر تالیس در گزارشی در مجله روانشناس گفت."
Text 1,s9,Dr Tallis said modern research suggested that the effects of being lovesick could be described in the latest diagnostic terms.,وی گفت پژوهش‌های مدرن نشان می‌دهد عوارض غم عشق را می‌توان با آخرین اصطلاحات تشخیص بیماری توصیف نمود. ,به گفته وی تحقیقات مدرن نشان می‌دهند که عوارض ابتلا به بیماری عشق را می‌توان با آخرین اصطلاحات مربوط به تشخیص بیماری توصیف کرد. ,دکتر Tallis گفته است که تحقیقات مدرن نشان می دهد که اثرات بیماری عاشقانه می تواند در آخرین اصطلاحات تشخیصی توصیف شود.,دکتر تالیس گفت تحقیقات مدرن نشان می‌دهد که می‌توان اثرات دلتنگی را با آخرین اصطلاحات تشخیصی توصیف کرد.,دکتر تالیس گفت تحقیقات مدرن پیشنهاد کرد که اثرات دوست داشتنی بودن را می توان در آخرین شرایط تشخیصی توصیف کرد.
Text 1,s10,"Symptoms can include mania, such as an elevated mood and inflated self-esteem, or depression, revealing itself as tearfulness and insomnia.","علائم آن می‌تواند شامل شیدایی، شعف روحی و خودبزرگ‌پنداری، یا افسردگی باشد که به صورت گریه و بی‌خوابی بروز می‌کند.","نشانه‌های این بیماری می‌تواند شامل شیدایی، خلق بالا و عزت نفس متورم یا افسردگی باشد که خود را به صورت گریه و بی‌خوابی نشان می‌دهد. ","علائم ممکن است شامل مانی، مانند موضع بالا و اعتماد به نفس بالا باشد، یا افسردگی، که به عنوان اشک و بی خوابی آشکار می شود.","علائم می تواند شامل شیدایی، مانند خلق و خوی بالا و عزت نفس متورم، یا افسردگی باشد که خود را به صورت گریه و بی خوابی نشان می دهد.","علائم می تواند شامل مانیا، مانند خلق و خوی بالا و اعتماد به نفس متورم، یا افسردگی، آشکار کردن خود را به عنوان اشک آور و بی خوابی است."
