Text No.,Sentence No.,English source,Professional translation,Student translation,MT0 = M2M100 1.2B,MT1 = Deepl,MT2 = GoogleTranslate
Text 1,s1,You may be suffering lovesickness.,Vous souffrez peut-être de la maladie d'amour. ,Vous souffrez peut-être de la maladie d’amour.,Peut-être que vous souffrez d’amour.,Vous souffrez peut-être du mal d'amour.,Vous souffrez peut-être de mal d'amour.
Text 1,s2,Falling in love used to be fun.,"Avant, tomber amoureux était agréable. ",Auparavant tomber amoureux était amusant. ,tomber amoureux était amusant.,Tomber amoureux était autrefois un plaisir.,Tomber amoureux était amusant.
Text 1,s3,Now doctors are warning that the throes of passion should be seen as a potentially fatal medical disorder.,"Mais aujourd'hui, les médecins nous mettent en garde contre les affres de la passion, qui doivent être considérées comme un trouble médical potentiellement mortel. ",Maintenant les médecins avertissent que les affres de la passion devraient être considérées comme des troubles médicaux potentiellement mortels. ,"Maintenant, les médecins mettent en garde que la douleur de la passion devrait être considérée comme un trouble médical potentiellement mortel.","Aujourd'hui, les médecins avertissent que les affres de la passion doivent être considérées comme un trouble médical potentiellement mortel.","Maintenant, les médecins avertissent que les affres de la passion doivent être considérées comme un trouble médical potentiellement mortel."
Text 1,s4,"Psychologists say that ""lovesickness"" is a genuine disease that needs more awareness and diagnosis.","Les psychologues sont formels : le ""mal d'amour"" est une véritable maladie dont il faut avoir conscience et qui doit pouvoir être diagnostiquée. ","Les psychologues déclarent que ""la maladie d’amour"" est une véritable maladie qui nécessite plus de sensibilisation et de diagnostic. ","Les psychologues disent que la ""maladie de l'amour"" est une véritable maladie qui a besoin de plus de conscience et de diagnostic.","Les psychologues affirment que le ""mal d'amour"" est une véritable maladie qui doit être mieux connue et diagnostiquée.","Les psychologues disent que le ""mal d'amour"" est une véritable maladie qui nécessite plus de sensibilisation et de diagnostic."
Text 1,s5,"And those little actions that are normally seen as symptoms of the first flush of love, buying presents, waiting by the phone for a call or making a bit of an effort before a date, may actually be signs of deep-rooted problems to come.","Tous ces petits gestes, que l'on perçoit généralement comme les symptômes d'un premier élan d'amour (acheter des cadeaux, attendre un appel, se préparer à un rendez-vous...) peuvent en fait être les signes précurseurs de problèmes plus profonds.","Et ces petits actes qui sont normalement considérés comme des symptômes de l’euphorie de l’amour : l’achat de cadeaux, l’attente d’un appel au téléphone ou les petits efforts pour se préparer pour un rendez-vous galant, peuvent en réalité être des signes de futurs problèmes profondément enracinés.","Et ces petites actions qui sont normalement considérées comme des symptômes du premier flush d’amour, l’achat de cadeaux, l’attente du téléphone pour un appel ou un peu d’effort avant une date, peuvent en fait être des signes de problèmes profondément enracinés à venir.","Et ces petits gestes qui sont normalement considérés comme des symptômes de la première bouffée d'amour, comme acheter des cadeaux, attendre un appel au téléphone ou faire un petit effort avant un rendez-vous, peuvent en fait être des signes de problèmes plus profonds à venir.","Et ces petites actions qui sont normalement considérées comme des symptômes de la première vague d'amour, acheter des cadeaux, attendre un appel au téléphone ou faire un peu d'effort avant un rendez-vous, peuvent en fait être des signes de problèmes profondément enracinés à venir."
Text 1,s6,"Frank Tallis, a clinical psychologist in London, examined the historical attitudes to love and mental illness.","Frank Tallis, psychologue clinicien à Londres, s'est penché sur l'histoire des comportements amoureux et la maladie mentale. ","Frank Tallis, psychologue clinicien à Londres, a examiné les attitudes vis-à-vis de l’amour et des maladies mentales au fil du temps. ","Frank Tallis, un psychologue clinique à Londres, a examiné les attitudes historiques à l’égard de l’amour et de la maladie mentale.","Frank Tallis, psychologue clinicien à Londres, a examiné les attitudes historiques vis-à-vis de l'amour et de la maladie mentale.","Frank Tallis, psychologue clinicien à Londres, a examiné les attitudes historiques envers l'amour et la maladie mentale."
Text 1,s7,"Before the 18th century, lovesickness had for thousands of years been accepted a recognised ailment.","Avant le XVIIIe siècle, la maladie d'amour était reconnue comme telle depuis plusieurs milliers d'années. ","Avant le 18e siècle, la maladie d’amour était depuis des milliers d’années un mal reconnu. ","Avant le XVIIIe siècle, la maladie de l'amour avait été acceptée pendant des milliers d'années comme une maladie reconnue.","Avant le 18e siècle, le mal d'amour était considéré comme une maladie reconnue depuis des milliers d'années.","Avant le 18e siècle, le mal d'amour était depuis des milliers d'années considéré comme une maladie reconnue."
Text 1,s8,"But for the past 200 years it has been out of favour with medical practitioners as a proper diagnosis, Dr Tallis said in a report in The Psychologist magazine.","Mais ces deux derniers siècles, déclare Dr Tallis dans un article de la revue The Psychologist, les médecins ne la considèrent plus comme un véritable diagnostic. ","Cependant au cours des 200 dernières années, elle a perdu la faveur des praticiens en tant que diagnostic approprié, a déclaré le Dr Tallis dans un rapport paru dans le magazine The Psychologist. ","Mais au cours des 200 dernières années, il a été en dehors de la faveur des praticiens médicaux comme un diagnostic approprié, a déclaré le Dr Tallis dans un rapport dans la revue Psychologist.","Mais au cours des 200 dernières années, il n'a plus été considéré par les médecins comme un diagnostic approprié, a déclaré le Dr Tallis dans un rapport publié dans le magazine The Psychologist.","Mais au cours des 200 dernières années, il n'a plus la faveur des praticiens médicaux en tant que diagnostic approprié, a déclaré le Dr Tallis dans un rapport du magazine The Psychologist."
Text 1,s9,Dr Tallis said modern research suggested that the effects of being lovesick could be described in the latest diagnostic terms.,"Selon lui, les recherches modernes suggèrent que les effets de la maladie d'amour pourraient être décrits dans des termes diagnostics actuels. ",Le Dr Tallis a déclaré que les recherches modernes suggéraient que les effets de la maladie d’amour pouvaient être décrits grâce aux termes de diagnostic les plus récents. ,Le Dr Tallis a déclaré que les recherches modernes suggèrent que les effets d'être amoureux peuvent être décrits dans les derniers termes diagnostiques.,Le Dr Tallis a déclaré que les recherches modernes suggéraient que les effets de la maladie d'amour pouvaient être décrits dans les termes diagnostiques les plus récents.,Le Dr Tallis a déclaré que la recherche moderne suggérait que les effets du mal d'amour pouvaient être décrits dans les derniers termes de diagnostic.
Text 1,s10,"Symptoms can include mania, such as an elevated mood and inflated self-esteem, or depression, revealing itself as tearfulness and insomnia.","Les symptômes peuvent inclure la manie, comme une excellente humeur et une haute estime de soi, ou la dépression, se manifestant par des crises de larmes et des insomnies.","Les symptômes peuvent comprendre des manies telles qu’une humeur euphorique et une estime de soi démesurée ou la dépression, se révélant sous forme de larmoiements et d’insomnie.","Les symptômes peuvent inclure la manie, comme une humeur élevée et une estime de soi gonflée, ou la dépression, se révélant comme la lacrymose et l'insomnie.","Les symptômes peuvent inclure la manie, comme une humeur élevée et une estime de soi exagérée, ou la dépression, qui se manifeste par des pleurs et des insomnies.","Les symptômes peuvent inclure la manie, telle qu'une humeur élevée et une estime de soi gonflée, ou la dépression, se révélant sous forme de larmes et d'insomnie."
