Text No.,Sentence No.,English source,Professional translation,Student translation,MT0 = M2M100 1.2B,MT1 = Google Translate,MT2 = LingvaNex
Text 1,s1,You may be suffering lovesickness.,Сіз махаббат дертіне шалдыққан боларсыз. ,Мүмкін сіз махаббат дертіне шалдыққан шығарсыз. ,Олардың бәрінен қанағаттандырыңызға болады.,Сіз махаббат ауруынан зардап шегуіңіз мүмкін.,Сіз сүйіспеншілікпен ауыратын шығарсыз.
Text 1,s2,Falling in love used to be fun.,Ғашық болу бұрын қызық сияқты көрінетін. ,Бұрын ғашық болу қызықты болатын.,"Сонымен қатар, біріншілік процесті айтарлықтай қиындатады.",Бұрын ғашық болу қызық болатын.,Ғашық болу көңілді болатын.
Text 1,s3,Now doctors are warning that the throes of passion should be seen as a potentially fatal medical disorder.,Ал қазір дәрігерлер құштарлықтың азабы өлімге әкелу ықтималдығы бар ауру болуы мүмкін деп ескертеді. ,Енді дәрігерлер құмарлықты өлімге әкелуге мүмкін медициналық бұзылыс ретінде қарастыру керек деп ескертуде.,Содан соң облыстық әкімдікте Павлодар облысының әкімі мен митрополиттің жеке кездесуі өтті.,Қазір дәрігерлер құмарлықтың күйзелісі өлімге әкелуі мүмкін медициналық ауру ретінде қарастырылуы керек деп ескертеді.,Қазір дәрігерлер құмарлықтың кесірін өлімге әкелетін медициналық ауру ретінде қарау керек деп ескертеді.
Text 1,s4,"Psychologists say that ""lovesickness"" is a genuine disease that needs more awareness and diagnosis.","Психологтардың айтуынша ""махаббат дерті"" нағыз дерт және оны толық біліп зерттеу керек. ","Психологтардың айтуынша, ""махаббат дерті"" бұл ауыр дерт ол көбірек хабардарлық пен диагнозды қажет етеді. ","Психологтар ""Ловесикоз"" бұл көптеген белсенділік және диагноз қажет.","Психологтар ""махаббат құмарлық"" бұл көбірек хабардар болуды және диагностиканы қажет ететін шынайы ауру екенін айтады.","Психологтар ""қозғау"" бұл көбірек хабардарлық пен диагнозды қажет ететін шынайы ауру дейді."
Text 1,s5,"And those little actions that are normally seen as symptoms of the first flush of love, buying presents, waiting by the phone for a call or making a bit of an effort before a date, may actually be signs of deep-rooted problems to come.","Әдетте алғашқы махаббаттың белгісі болып көрінетін шағын әрекеттер, мысалы сыйлық сатып алу, телефон қоңырауын күту немесе кездесу алдында дайындалу алдағы терең проблемалардың белгісі болуы мүмкін.","Әдетте махаббаттың алғашқы толқынының белгілері ретінде қарастырылатын кішкентай әрекеттер, сыйлықтар сатып алу, телефон қоңырауын күту немесе кездесу үшін күш салу болашақта терең проблемалардың белгілері болуы мүмкін.","Бұдан басқа, ""Кристалл Менеджмент"" АҚ көмірсутегі шикізатының перспективалық блогы бойынша іздестіру жұмыстарын Оңтүстік Торғай алқабында жүргізеді.","Әдетте махаббаттың алғашқы ағынының белгілері ретінде қарастырылатын кішкентай әрекеттер, сыйлықтар сатып алу, телефон қоңырауын күту немесе кездесуге дейін біраз күш салу, шын мәнінде, болашақта тамыры терең проблемалардың белгілері болуы мүмкін.","Әдетте сүйіспеншіліктің алғашқы ағымының белгілері ретінде көрінетін кішкентай әрекеттер, сыйлықтар сатып алу, телефон арқылы қоңырау күту немесе белгілі бір уақытқа дейін біраз күш салу, шын мәнінде, терең проблемалардың белгілері болуы мүмкін."
Text 1,s6,"Frank Tallis, a clinical psychologist in London, examined the historical attitudes to love and mental illness.",Лондондағы клиникалық психолог Фрэнк Таллис махаббатқа және психикалық ауруларға деген көзқарастың тарихын зерттеген. ,Лондондағы клиникалық психолог Фрэнк Таллис махаббат пен психикалық ауруларға деген тарихи көзқарастарды зерттеді.,"Фрэнк Таллис, Лондонда клиникалық психолог, романтикалық және психикалық болатыны менің ата-бабаларымызды айтады.",Лондондағы клиникалық психолог Фрэнк Таллис махаббат пен психикалық ауруға деген тарихи көзқарасты зерттеді.,Лондондағы клиникалық психолог Фрэнк Таллис махаббат пен психикалық ауруға деген тарихи көзқарасты зерттеді.
Text 1,s7,"Before the 18th century, lovesickness had for thousands of years been accepted a recognised ailment.",18 ғасырдың алдында мыңдаған жылдар бойы махаббат дерті кәдімгі ауру болып саналған. ,18 ғасырға дейін мыңдаған жылдар бойы махаббат дерті жалпыға бірдей танылған ауру болып саналды.,"18 ғасырда, соңына дейін 1000 жылға дейін ата-аналармен таныстырды.",18 ғасырға дейін махаббат ауруы мыңдаған жылдар бойы белгілі ауру ретінде қабылданды.,18 ғасырға дейін сүйіспеншілік мыңдаған жылдар бойы танылған ауру болып келді.
Text 1,s8,"But for the past 200 years it has been out of favour with medical practitioners as a proper diagnosis, Dr Tallis said in a report in The Psychologist magazine.","Алайда соңғы 200 жылда, Таллистің The Psychologist журналында жариялаған есебіне сәйкес, дәрігерлер бұны дұрыс қойылмаған диагноз деген тұжырымға келді. ","Психолог журналындағы баяндамасында доктор Таллисты айтуы бойынша, соңғы 200 жылда бұл дәрігерлер арасында шынайы диагноз ретінде қарастырылмады. ",Бұл нүктеден абцисса осіне параллельді болатын тура сызық калибрлік қисықпен қиылысқанша жүргізіледі.,"Бірақ соңғы 200 жылда бұл дұрыс диагноз ретінде дәрігерлердің көңілінен шықты, деді доктор Таллис The Psychologist журналындағы баяндамасында.",Бірақ соңғы 200 жыл ішінде бұл диагнозды дұрыс диагноз ретінде дәрігер-Таллис Психолог журналындағы баяндамасында айтқан.
Text 1,s9,Dr Tallis said modern research suggested that the effects of being lovesick could be described in the latest diagnostic terms.,"Таллистің айтуынша, қазіргі замандағы зерттеулерге сәйкес, махаббат дертінің салдарын заманауи диагностикалық терминдермен сипаттауға болады. ","Доктор Таллистің айтуынша, қазіргі зерттеулер махаббат дертіне шалдығудың салдары соңғы диагностикалық тұрғыдан сипатталуы мүмкін екенін көрсетеді. ",Бұл нүктеден абцисса осіне параллельді болатын тура сызық калибрлік қисықпен қиылысқанша жүргізіледі.,Доктор Таллис заманауи зерттеулер махаббат ауруының салдарын соңғы диагностикалық терминдермен сипаттауға болатынын айтты.,Доктор Таллис қазіргі заманғы зерттеулер сүйіспеншілікке толы болудың салдарын соңғы диагностикалық терминдерде сипаттауға болатындығын айтты.
Text 1,s10,"Symptoms can include mania, such as an elevated mood and inflated self-esteem, or depression, revealing itself as tearfulness and insomnia.","Оның белгілері әуестенуді, мысалы көтеріңкі көңіл күйді, өзін асыра жоғары бағалауды, немесе жылауықтықпен және ұйқысыздықпен бірге келетін депрессияны қамтуы мүмкін.",Симптомдарға көңіл-күй мен өзін-өзі бағалаудың жоғарылауы сияқты құмартулар немесе жылау мен ұйқысыздық түрінде көрінетін депрессия кіруі мүмкін.,"Бұдан басқа, бұл ғимаратта А класты бизнес орталықтарына сай басқа да ерекшеліктер бар.",Симптомдарға көңіл-күйдің көтерілуі және өзін-өзі бағалаудың жоғарылауы немесе көз жасы мен ұйқысыздық ретінде көрінетін депрессия сияқты мания болуы мүмкін.,"Симптомдарға мания кіруі мүмкін, мысалы, көңіл-күйдің жоғарылауы және өзін-өзі бағалаудың жоғарылауы немесе депрессия, өзін жастық пен ұйқысыздық ретінде көрсетеді."
