Text No.,Sentence No.,English source,Professional translation,Student translation,MT0 = M2M100 1.2B,MT1 = Google Translate,MT2 = DeepL
Text 1,s1,You may be suffering lovesickness.,Smoorverliefd zijn kan een mens écht ziek maken.,Je lijdt misschien wel aan liefdesverdriet.,Misschien heb je last van liefde.,Misschien heb je last van liefdesverdriet.,Misschien heb je last van liefdesverdriet.
Text 1,s2,Falling in love used to be fun.,Verliefd worden was altijd leuk.,Vroeger was verliefd worden leuk.,Verliefd worden was vroeger grappig.,Vroeger was verliefd worden leuk.,Verliefd worden was vroeger leuk.
Text 1,s3,Now doctors are warning that the throes of passion should be seen as a potentially fatal medical disorder.,Maar nu waarschuwen artsen dat ons passioneel geworstel gezien kan worden als een mogelijk noodlottige medische stoornis.,Nu waarschuwen artsen ervoor dat passionele stuiptrekkingen moeten worden gezien als een potentieel fatale medische aandoening.,Nu waarschuwen artsen dat de grillen van passie moeten worden gezien als een potentieel dodelijke medische aandoening.,Nu waarschuwen doktoren dat de hartstocht moet worden gezien als een mogelijk dodelijke medische aandoening.,Nu waarschuwen artsen dat de hartstocht moet worden gezien als een mogelijk fatale medische aandoening.
Text 1,s4,"Psychologists say that ""lovesickness"" is a genuine disease that needs more awareness and diagnosis.",Psychologen zeggen dat smoorverliefd zijn een heuse ziekte is die meer aandacht en een betere diagnose nodig heeft.,"Psychologen zeggen dat ""liefdesverdriet"" een echte ziekte is waarvoor er meer bewustzijn en diagnose nodig is.","Psychologen zeggen dat ""liefdesziekte"" een echte ziekte is die meer bewustzijn en diagnose nodig heeft.","Psychologen zeggen dat ""liefdesverdriet"" een echte ziekte is die meer bewustzijn en diagnose behoeft.","Psychologen zeggen dat ""liefdesverdriet"" een echte ziekte is die meer bekendheid en diagnose behoeft."
Text 1,s5,"And those little actions that are normally seen as symptoms of the first flush of love, buying presents, waiting by the phone for a call or making a bit of an effort before a date, may actually be signs of deep-rooted problems to come.","Kleine handelingen die de eerste tekenen van verliefheid markeren, zoals cadeautjes kopen, wachten bij de telefoon of een afspraakje porberen vast te leggen, kunnen eigenlijk tekenen zijn van diepgewortelde problemen die op komst zijn.","En die kleine acties die doorgaans worden gezien als symptomen van de eerste liefdesvloedgolf, cadeautjes kopen, bij de telefoon zitten wachten op een telefoontje of wat moeite doen voor een date, kunnen in werkelijkheid tekenen zijn van diepgewortelde problemen die nog moeten komen.","En die kleine acties die normaal gezien worden als symptomen van de eerste flush van liefde, het kopen van geschenken, het wachten op de telefoon voor een telefoontje of het maken van een beetje inspanning voor een date, kunnen eigenlijk tekenen zijn van diepgewortelde problemen die komen.","En die kleine handelingen die normaal gesproken worden gezien als symptomen van de eerste verliefdheid, cadeautjes kopen, bij de telefoon wachten op een telefoontje of een beetje moeite doen voor een date, kunnen in feite tekenen zijn van diepgewortelde problemen die gaan komen.","En die kleine handelingen die normaal gezien worden als symptomen van de eerste verliefdheid, cadeautjes kopen, wachten bij de telefoon op een telefoontje of een beetje moeite doen voor een afspraakje, kunnen eigenlijk tekenen zijn van diepgewortelde problemen die komen gaan."
Text 1,s6,"Frank Tallis, a clinical psychologist in London, examined the historical attitudes to love and mental illness.",De Londense klinisch psycholoog Frank Tallis onderzocht de historische houding tegenover liefde en zenuwziekte.,"Frank Tallis, een klinisch psycholoog uit Londen, onderzocht de historische opvattingen ten opzichte van liefde en psychische aandoeningen.","Frank Tallis, een klinische psycholoog in Londen, onderzocht de historische houding ten opzichte van liefde en psychische aandoeningen.","Frank Tallis, een klinisch psycholoog in Londen, onderzocht de historische opvattingen over liefde en psychische aandoeningen.","Frank Tallis, een klinisch psycholoog in Londen, onderzocht de historische opvattingen over liefde en geestesziekte."
Text 1,s7,"Before the 18th century, lovesickness had for thousands of years been accepted a recognised ailment.",Smoorverliefdheid was tot aan de achttiende eeuw geaccepteerd als een erkende aandoening.,Voor de 18de eeuw was liefdesverdriet al duizenden jaren aanvaard als een erkende kwaal.,Vóór de 18e eeuw was liefdesziekte al duizenden jaren een erkende ziekte.,Vóór de 18e eeuw was liefdesverdriet al duizenden jaren een erkende aandoening.,Vóór de 18e eeuw was liefdesverdriet al duizenden jaren een erkende kwaal.
Text 1,s8,"But for the past 200 years it has been out of favour with medical practitioners as a proper diagnosis, Dr Tallis said in a report in The Psychologist magazine.","De laatste 200 jaar is het uit de gunst geraakt bij artsen, zegt Tallis in het Britse tijdschift The Psychologist.","Maar de afgelopen 200 jaar raakte het uit de gratie van medici als een echte diagnose, zei dr. Tallis in een rapport in het tijdschrift The Psychologist.","Maar de afgelopen 200 jaar is het niet in het voordeel geweest van medische beoefenaars als een juiste diagnose, zei Dr. Tallis in een rapport in The Psychologist magazine.","Maar de afgelopen 200 jaar is het uit de gratie geweest bij artsen als een juiste diagnose, zei dr. Tallis in een rapport in het tijdschrift The Psychologist.","Maar de afgelopen 200 jaar is het bij medici uit de gratie geraakt als een juiste diagnose, aldus Dr Tallis in een verslag in het tijdschrift The Psychologist."
Text 1,s9,Dr Tallis said modern research suggested that the effects of being lovesick could be described in the latest diagnostic terms.,Recent onderzoek toont volgens de klinisch psycholoog aan dat de effecten van dolverliefdheid kunnen worden omschreven volgens de recentste diagnostische termen.,Dr. Tallis zei dat hedendaags onderzoek suggereerde dat de effecten van liefdesverdriet met de nieuwste diagnostische termen kunnen worden beschreven.,Dr. Tallis zei dat modern onderzoek suggereert dat de effecten van liefdesziekte kunnen worden beschreven in de nieuwste diagnostische termen.,Dr. Tallis zei dat modern onderzoek suggereerde dat de effecten van liefdesverdriet beschreven kunnen worden in de nieuwste diagnostische termen.,Dr. Tallis zei dat modern onderzoek suggereerde dat de gevolgen van liefdesverdriet kunnen worden beschreven in de nieuwste diagnostische termen.
Text 1,s10,"Symptoms can include mania, such as an elevated mood and inflated self-esteem, or depression, revealing itself as tearfulness and insomnia.","Het kan dan gaan om bijvoorbeeld manie, zoals uitgelatenheid en een opgezwollen eigendunk, of depressie, zich huilerig gedragen en slapeloosheid.","Een van de mogelijke symptomen is manie, zoals een uitgelaten stemming en een opgeblazen zelfbeeld, of depressie, geuit als huilerigheid en slapeloosheid.","Symptomen kunnen manie omvatten, zoals een verhoogde stemming en opgeblazen zelfrespect, of depressie, die zich manifesteert als tranen en slapeloosheid.","Symptomen kunnen manie zijn, zoals een verhoogde stemming en een opgeblazen gevoel van eigenwaarde, of depressie, die zich openbaart als tranen en slapeloosheid.","De symptomen kunnen manie zijn, zoals een verhoogde stemming en een opgeblazen gevoel van eigenwaarde, of depressie, die zich uit in huilerigheid en slapeloosheid."
