Text No.,Sentence No.,English source,Professional translation,Student translation,MT0 = M2M100 1.2B,MT1 = Google Translate,MT2 = DeepL
Text 1,s1,You may be suffering lovesickness.,Talvez você esteja sofrendo do mal do amor. ,É possível que você esteja sofrendo da doença do amor. ,Você pode estar sofrendo de amor.,Você pode estar sofrendo de doença de amor.,Você pode estar sofrendo de enamoramento.
Text 1,s2,Falling in love used to be fun.,Cair de amores costumava ser algo divertido. ,Apaixonar-se era divertido. ,Apaixonar-se costumava ser divertido.,Apaixonar-se costumava ser divertido.,Apaixonar-se costumava ser divertido.
Text 1,s3,Now doctors are warning that the throes of passion should be seen as a potentially fatal medical disorder.,"Agora, porém, os médicos alertam que as dores da paixão seriam indícios de um problema médico com consequências potencialmente fatais. ",Agora os médicos estão alertando que os espasmos da paixão devem ser vistos como um distúrbio médico potencialmente fatal. ,"Agora, os médicos estão alertando que a dor da paixão deve ser vista como um transtorno médico potencialmente fatal.",Agora os médicos estão alertando que os espasmos da paixão devem ser vistos como um distúrbio médico potencialmente fatal.,Agora os médicos estão alertando que a paixão deve ser vista como um distúrbio médico potencialmente fatal.
Text 1,s4,"Psychologists say that ""lovesickness"" is a genuine disease that needs more awareness and diagnosis.","Segundo os psicólogos, o chamado ""mal do amor"" é uma doença como outra qualquer que merece mais atenção e precisa ser melhor diagnosticada. ","Psicólogos dizem que a ""doença do amor"" é uma doença real que requer mais atenção e diagnóstico. ",Os psicólogos dizem que a “doença do amor” é uma doença genuína que precisa de mais conscientização e diagnóstico.,"Os psicólogos dizem que a ""doença de amor"" é uma doença genuína que precisa de mais atenção e diagnóstico.","Os psicólogos dizem que a ""doença do amor"" é uma doença genuína que precisa de mais consciência e diagnóstico."
Text 1,s5,"And those little actions that are normally seen as symptoms of the first flush of love, buying presents, waiting by the phone for a call or making a bit of an effort before a date, may actually be signs of deep-rooted problems to come.","E aquelas pequenas ações normalmente vistas como os primeiros sintomas do amor – dar presentes, ficar olhando para o telefone à espera da ligação da pessoa amada ou fazer aquele esforço a mais antes de um encontro – podem, na verdade, ser o prenúncio de problemas muito mais sérios.","E as pequenas atitudes que normalmente são vistas como sintomas do primeiro surto de amor, como comprar presentes, ficar de olho no telefone esperando uma ligação ou passar horas se preparando para um encontro, podem, na verdade, ser sinais de problemas profundos que estão por vir.","E aquelas pequenas ações que são normalmente vistas como sintomas do primeiro flush de amor, comprar presentes, esperar pelo telefone para uma chamada ou fazer um pouco de esforço antes de um encontro, podem realmente ser sinais de problemas profundamente enraizados para vir.","E aquelas pequenas ações que normalmente são vistas como sintomas do primeiro surto de amor, comprar presentes, esperar uma ligação ao telefone ou fazer um pouco de esforço antes de um encontro, podem na verdade ser sinais de problemas profundos que estão por vir.","E aquelas pequenas ações que normalmente são vistas como sintomas do primeiro rubor de amor, comprar presentes, esperar pelo telefone por uma ligação ou fazer um pouco de esforço antes de um encontro, podem na verdade ser sinais de problemas profundamente enraizados que estão por vir."
Text 1,s6,"Frank Tallis, a clinical psychologist in London, examined the historical attitudes to love and mental illness.",O psicólogo clínico londrino Frank Tallis examinou as atitudes históricas em relação ao amor e às doenças mentais. ,"Frank Tallis, psicólogo clínico em Londres, examinou as atitudes históricas em relação a amor e doença mental. ","Frank Tallis, um psicólogo clínico em Londres, examinou as atitudes históricas para com o amor e a doença mental.","Frank Tallis, um psicólogo clínico em Londres, examinou as atitudes históricas em relação ao amor e à doença mental.","Frank Tallis, um psicólogo clínico em Londres, examinou as atitudes históricas em relação ao amor e à doença mental."
Text 1,s7,"Before the 18th century, lovesickness had for thousands of years been accepted a recognised ailment.","Por milhares de anos até o século XVIII, o mal do amor era aceito como uma enfermidade reconhecida, ","Antes do século 18, a doença do amor era aceita por milhares de anos como uma doença reconhecida. ","Antes do século XVIII, a doença do amor havia sido aceita por milhares de anos como uma doença reconhecida.","Antes do século 18, a doença de amor havia sido aceita por milhares de anos como uma doença reconhecida.","Antes do século XVIII, a doença amorosa havia sido aceita por milhares de anos como uma doença reconhecida."
Text 1,s8,"But for the past 200 years it has been out of favour with medical practitioners as a proper diagnosis, Dr Tallis said in a report in The Psychologist magazine.","mas, nos últimos 200 anos, os médicos deixaram de diagnosticá-la como uma doença propriamente dita, afirmou o Dr. Tallis em um artigo publicado na revista The Psychologist. ","Mas, nos últimos 200 anos, ela caiu em desuso entre os médicos como um diagnóstico adequado, disse o Dr. Tallis em um relatório na revista The Psychologist. ","Mas, nos últimos 200 anos, tem sido fora de favor dos médicos como um diagnóstico correto, disse o Dr. Tallis em um relatório na revista The Psychologist.","Mas, nos últimos 200 anos, ela caiu em desuso entre os médicos como um diagnóstico adequado, disse o Dr. Tallis em um relatório na revista The Psychologist.","Mas, nos últimos 200 anos, ela tem estado fora do favor dos médicos como um diagnóstico adequado, disse o Dr. Tallis em uma reportagem na revista The Psychologist."
Text 1,s9,Dr Tallis said modern research suggested that the effects of being lovesick could be described in the latest diagnostic terms.,"Segundo Tallis, as últimas pesquisas disponíveis sugerem que os efeitos do mal do amor poderiam ser descritos nos termos diagnósticos mais recentes. ",O Dr. Tallis afirmou que a pesquisa moderna sugere que os efeitos da doença do amor poderiam ser descritos nos termos diagnósticos mais recentes. ,O Dr. Tallis disse que a pesquisa moderna sugere que os efeitos de ser amoroso podem ser descritos nos termos diagnósticos mais recentes.,O Dr. Tallis disse que a pesquisa moderna sugere que os efeitos de estar doente de amor podem ser descritos nos termos diagnósticos mais recentes.,O Dr. Tallis disse que a pesquisa moderna sugeriu que os efeitos de ser apaixonado poderiam ser descritos nos últimos termos de diagnóstico.
Text 1,s10,"Symptoms can include mania, such as an elevated mood and inflated self-esteem, or depression, revealing itself as tearfulness and insomnia.","Entre os sintomas estão a mania, caracterizada pela elevação do humor ou pelo excesso de autoestima, e a depressão, que se manifesta na forma de uma tristeza profunda e de insônia.","Os sintomas podem incluir mania, como humor elevado e autoestima inflada, ou depressão, revelando-se como choro e insônia.","Os sintomas podem incluir mania, como um humor elevado e auto-estima inchada, ou depressão, revelando-se como lágrima e insônia.","Os sintomas podem incluir mania, como humor elevado e auto-estima inflada, ou depressão, revelando-se como choro e insônia.","Os sintomas podem incluir mania, como um humor elevado e auto-estima inflada, ou depressão, revelando-se como lacrimejamento e insônia."
Text 2,s1,One thing that journalism teaches you over the years is that events or incidents are rarely important in themselves.,Se tem uma lição que aprendemos com o tempo no jornalismo é que os eventos ou incidentes em si raramente são importantes. ,Uma coisa que o jornalismo ensina ao longo dos anos é que eventos ou incidentes raramente são importantes por si sós. ,Uma coisa que o jornalismo nos ensina ao longo dos anos é que eventos ou incidentes raramente são importantes por si só.,Uma coisa que o jornalismo ensina ao longo dos anos é que eventos ou incidentes raramente são importantes em si mesmos.,Uma coisa que o jornalismo lhe ensina ao longo dos anos é que eventos ou incidentes raramente são importantes em si mesmos.
Text 2,s2,It is when they fit in with general assumptions and trends that they take on meaning.,Eles só adquirem significado quando considerados à luz do contexto geral – as tendências e premissas – em que estão inseridos. ,Apenas quando se ajustam a pressupostos e tendências gerais é que eles adquirem significado. ,É quando eles se encaixam com suposições e tendências gerais que eles assumem significado.,É quando se ajustam a pressupostos e tendências gerais que adquirem significado.,É quando eles se encaixam nas suposições e tendências gerais que adquirem significado.
Text 2,s3,Globalisation is fine for the financier but it doesn't feel so good to the farmer wiped out by lower-cost imports or the worker whose job has just been replaced by an operation in Bangalore.,"A globalização é ótima para o dono do capital, mas péssima para o agricultor que perde a sua produção por não conseguir competir com importações de baixo custo ou para o trabalhador que acabou de perder o emprego porque sua função foi substituída por uma operação em Bangalore.","A globalização é boa para os financiadores, mas não é tão boa para o agricultor descartado por importações de baixo custo ou para o trabalhador cujo emprego acaba de ser substituído por uma operação em Bangalore.","A globalização é boa para o financiador, mas não é tão boa para o agricultor que foi esvaziado pelas importações de baixo custo ou para o trabalhador cujo emprego acabou de ser substituído por uma operação em Bangalore.","A globalização é boa para o financista, mas não é tão boa para o agricultor eliminado por importações de baixo custo ou para o trabalhador cujo emprego acaba de ser substituído por uma operação em Bangalore.","A globalização é boa para o financiador, mas não é tão boa para o fazendeiro dizimado por importações de baixo custo ou para o trabalhador cujo emprego acabou de ser substituído por uma operação em Bangalore."
Text 2,s4,And the same is happening to China now.,E a mesma coisa está acontecendo agora com a China. ,"E agora, o mesmo está acontecendo com a China. ",O mesmo está acontecendo com a China agora.,E o mesmo está acontecendo com a China agora.,E o mesmo está acontecendo agora com a China.
Text 2,s5,"Much though its critics may wish China to fall at this hurdle by a string of scandals about its products, it has to be said that it is unlikely to happen.","Por mais que os críticos desejem que a China sofra um baque em razão de uma série de escândalos envolvendo os produtos originados do país, a probabilidade disso acontecer é muito pequena. ","Por mais que seus críticos desejem que a China sofra com esse obstáculo por causa de uma série de escândalos sobre seus produtos, é preciso dizer que é improvável que isso aconteça. ","Embora seus críticos possam desejar que a China caia neste obstáculo por uma série de escândalos sobre seus produtos, deve-se dizer que é improvável que isso aconteça.","Por mais que seus críticos desejem que a China caia nessa barreira por causa de uma série de escândalos sobre seus produtos, é preciso dizer que é improvável que isso aconteça.","Muito embora seus críticos possam desejar que a China caia neste obstáculo por uma série de escândalos sobre seus produtos, é preciso dizer que é improvável que isso aconteça."
Text 2,s6,"The rush of bad news may slow the rise in consumer demand temporarily and even persuade some retail companies to have second thoughts about sourcing in Asia, but on the wider stage it will do little to stop China's manufacturing growth.","A enxurrada de más notícias pode até desacelerar temporariamente o crescimento da demanda de consumo ou levar alguns varejistas a rever sua estratégia de trabalhar com fornecedores asiáticos, mas, no contexto geral, pouco contribuirá para frear o crescimento industrial da China. ","A onda de más notícias pode desacelerar temporariamente o aumento da demanda do consumidor e até mesmo persuadir algumas empresas de varejo a reconsiderar o abastecimento na Ásia, mas em um cenário mais amplo, fará pouco para impedir o crescimento da fabricação na China. ","A corrida das más notícias pode retardar temporariamente o crescimento da demanda do consumidor e até convencer algumas empresas de varejo a terem um segundo pensamento sobre a aquisição na Ásia, mas, em um estágio mais amplo, fará pouco para frear o crescimento da indústria manufatureira da China.","A onda de más notícias pode desacelerar temporariamente o aumento da demanda do consumidor e até mesmo persuadir algumas empresas de varejo a pensar duas vezes sobre o abastecimento na Ásia, mas em um cenário mais amplo fará pouco para impedir o crescimento da manufatura da China.","A correria das más notícias pode retardar temporariamente o aumento da demanda dos consumidores e até mesmo persuadir algumas empresas varejistas a terem uma segunda opinião sobre o sourcing na Ásia, mas em um estágio mais amplo pouco fará para parar o crescimento da manufatura chinesa."
Text 2,s7,"The West goes there particularly for clothing and toys, but go round Asia and every store is full of Chinese-made white goods.","Embora o Ocidente recorra principalmente a fornecedores de roupas e brinquedos, basta circular pela região para ver todas as lojas repletas de eletrodomésticos da linha branca fabricados na China. ","O Ocidente faz negócios com o país especialmente para comprar roupas e brinquedos, mas em toda a Ásia, todas as lojas estão cheias de equipamentos fabricados na China. ","O Ocidente vai lá certamente para roupas e brinquedos, mas vá ao redor da Ásia e cada loja está cheia de produtos brancos feitos na China.","O Ocidente vai para lá especialmente para comprar roupas e brinquedos, mas ao redor da Ásia, todas as lojas estão cheias de produtos de linha branca fabricados na China.","O Ocidente vai lá particularmente para roupas e brinquedos, mas percorre a Ásia e todas as lojas estão cheias de produtos brancos de fabricação chinesa."
Text 2,s8,As with Japan before it - and with similar single-minded determination - the country is moving upmarket.,"Assim como aconteceu com o Japão no passado – e com uma determinação obstinada semelhante –, a China está direcionando seu foco para mercados mais sofisticados. ","Tal como aconteceu com o Japão antes dela – e com uma determinação e interesse semelhantes –, o país está crescendo no mercado. ",Como com o Japão antes dele - e com a mesma determinação unânime - o país está se movendo para cima.,Tal como aconteceu com o Japão antes dele - e com determinação obstinada semelhante - o país está subindo no mercado.,Como no Japão antes dele - e com uma determinação semelhante - o país está subindo de nível.
Text 2,s9,"Next will come cars, engines and aircraft.","O próximo alvo serão carros, motores e aeronaves.","Em seguida, virão carros, motores e aeronaves.","Em seguida, virão carros, motores e aviões.","Em seguida virão carros, motores e aeronaves.","A seguir virão carros, motores e aeronaves."
Text 3,s1,Researchers have discovered the hidden laboratory used by Leonardo da Vinci for studies of flight and other pioneering scientific work.,Pesquisadores descobriram um laboratório oculto que Leonardo da Vinci usava para realizar seus estudos sobre o voo e outros trabalhos científicos pioneiros. ,Pesquisadores descobriram o laboratório oculto usado por Leonardo da Vinci para estudos de voo e outros trabalhos científicos pioneiros. ,Pesquisadores descobriram o laboratório escondido usado por Leonardo da Vinci para estudos de vôo e outros trabalhos científicos pioneiros.,Pesquisadores descobriram o laboratório oculto usado por Leonardo da Vinci para estudos de voo e outros trabalhos científicos pioneiros.,Os pesquisadores descobriram o laboratório oculto usado por Leonardo da Vinci para estudos de vôo e outros trabalhos científicos pioneiros.
Text 3,s2,"The workshop rooms, located between the Institute for Military Geography and the Basilica, contain frescos painted by Leonardo that have ""impressive resemblances"" to other examples of his experimental work.","Os quartos que funcionavam como ateliês, localizados entre o Instituto de Geografia Militar e a basílica, contêm afrescos pintados por Leonardo que têm ""semelhanças impressionantes"" com outros trabalhos experimentais de autoria do artista. ","Os quartos das oficinas, localizados entre o Instituto de Geografia Militar e a Basílica, contêm afrescos pintados por Leonardo que apresentam ""semelhanças impressionantes"" com outros exemplares de seu trabalho experimental. ","As salas de workshops, localizadas entre o Instituto de Geografia Militar e a Basílica, contêm frescos pintados por Leonardo que têm ""semelhanças impressionantes"" a outros exemplos de seu trabalho experimental.","As salas das oficinas, localizadas entre o Instituto de Geografia Militar e a Basílica, contêm afrescos pintados por Leonardo que apresentam ""semelhanças impressionantes"" com outros exemplares de seu trabalho experimental.","As salas das oficinas, localizadas entre o Instituto de Geografia Militar e a Basílica, contêm afrescos pintados por Leonardo que têm ""semelhanças impressionantes"" com outros exemplos de seu trabalho experimental."
Text 3,s3,"Leonardo's use of the rooms was referred to in letters written by Pietro di Novellara and they were cited by Giorgio Vasari in his 16th-century biography, Lives of the Artists.","O uso que Leonardo fazia desses quartos está documentado em cartas escritas por Piero di Novellara e é citado por Giorgio Vasari em sua biografia Vida dos Artistas, datada do século XVI.","O uso dos quartos por da Vinci foi mencionado em cartas escritas por Pietro da Novellara e foram citados por Giorgio Vasari em sua biografia do século 16, The Lives of the Artists.","O uso de Leonardo dos quartos foi referido em cartas escritas por Pietro di Novellara e eles foram citados por Giorgio Vasari em sua biografia do século 16, Lives of the Artists.","O uso dos quartos por Leonardo foi mencionado em cartas escritas por Pietro di Novellara e foram citados por Giorgio Vasari em sua biografia do século XVI, Lives of the Artists.","A utilização das salas por Leonardo foi referida em cartas escritas por Pietro di Novellara e foram citadas por Giorgio Vasari em sua biografia do século 16, Vidas dos Artistas."
Text 3,s4,"""The finds are particularly interesting as they will help us to understand the context in which Leonardo was working in these rooms exactly 500 years ago,"" said Professor Alessandro Vezzosi, a Leonardo scholar.","""As descobertas são particularmente interessantes por nos ajudarem a entender o contexto em que Leonardo trabalhava nesse local há exatos 500 anos"", afirmou o professor Alessandro Vezzosi, um dos maiores estudiosos de Leonardo. ","""As descobertas são particularmente interessantes, visto que nos ajudarão a entender o contexto em que da Vinci trabalhava nesses quartos há exatamente 500 anos"", disse o professor Alessandro Vezzosi , um estudioso de Leonardo. ","“As descobertas são particularmente interessantes, pois nos ajudarão a entender o contexto em que Leonardo estava trabalhando nessas salas exatamente 500 anos atrás”, disse o professor Alessandro Vezzosi, um estudioso de Leonardo.","""As descobertas são particularmente interessantes, pois nos ajudarão a entender o contexto em que Leonardo trabalhava nessas salas exatamente 500 anos atrás"", disse o professor Alessandro Vezzosi, um estudioso de Leonardo.","""Os achados são particularmente interessantes porque nos ajudarão a entender o contexto no qual Leonardo trabalhava nestas salas exatamente 500 anos atrás"", disse o professor Alessandro Vezzosi, um estudioso de Leonardo."
Text 3,s5,"The Tuscan-born scientist, painter, philosopher and poet was aged 51 when he returned to Florence in 1503 after many years in Milan, where he already had established his reputation, and a period of extended travel.","Nascido em Toscana, Leonardo, que era cientista, pintor, filósofo e poeta, tinha 51 anos quando retornou a Florença em 1503, após muitos anos vivendo em Milão, onde já tinha uma reputação estabelecida, e um longo período de viagens. ","O cientista, pintor, filósofo e poeta nascido na Toscana tinha 51 anos quando voltou a Florença em 1503, após muitos anos em Milão, onde já havia estabelecido sua reputação, e um período de viagens prolongadas. ","Nascido na Toscana, o cientista, pintor, filósofo e poeta tinha 51 anos quando retornou a Florença em 1503 depois de muitos anos em Milão, onde já havia estabelecido sua reputação, e um período de longa viagem.","O cientista, pintor, filósofo e poeta nascido na Toscana tinha 51 anos quando voltou a Florença em 1503, após muitos anos em Milão, onde já havia estabelecido sua reputação, e um período de viagens prolongadas.","O cientista, pintor, filósofo e poeta nascido na Toscana tinha 51 anos quando retornou a Florença em 1503, depois de muitos anos em Milão, onde já havia estabelecido sua reputação, e um período de viagem prolongada."
Text 3,s6,His first spell in Florence came when he was 17 and became a member of the painters' guild.,"Em sua primeira passagem por Florença, Leonardo tinha 17 anos e se juntara à associação de pintores da cidade. ",Sua primeira passagem por Florença aconteceu quando ele tinha 17 anos e se tornou membro da guilda dos pintores. ,Seu primeiro feitiço em Florença veio quando ele tinha 17 anos e se tornou um membro da guilda dos pintores.,Sua primeira passagem por Florença aconteceu quando ele tinha 17 anos e se tornou membro da guilda dos pintores.,Seu primeiro feitiço em Florença veio aos 17 anos e se tornou membro da guilda dos pintores.
Text 3,s7,The rooms he took in the 16th century were in a religious house run by monks from the order of the Servi di Maria in a part of the monastery set aside for renting to lay people as guestrooms.,"Os aposentos que ocupou no século XVI ficavam em uma casa religiosa comandada por monges da ordem de Servi di Maria, em uma parte do monastério destinada à locação de quartos para hóspedes. ",Os quartos que ele ocupou no século 16 ficavam em uma casa religiosa administrada por monges da Ordem dos Servos de Maria em uma parte do mosteiro reservada para alugar para leigos como quartos de hóspedes. ,Os quartos que ele tomou no século 16 estavam em uma casa religiosa dirigida por monges da ordem do Servi di Maria em uma parte do mosteiro colocado de lado para alugar para leigos como quartos de hóspedes.,Os quartos que ocupou no século 16 ficavam em uma casa religiosa administrada por monges da ordem dos Servi di Maria em uma parte do mosteiro reservada para alugar para leigos como quartos.,Os quartos que ele tomou no século 16 estavam em uma casa religiosa administrada por monges da ordem dos Servi di Maria em uma parte do mosteiro reservada para aluguel a leigos como quartos de hóspedes.
Text 3,s8,Other notable figures who would take accommodation in the same monastery later included Andrea del Sarto and Franciabigio.,Entre as personalidades notáveis que posteriormente se hospedariam no monastério estão Andrea del Sarto e Franciabigio. ,Outras figuras notáveis que mais tarde se hospedariam no mesmo mosteiro incluíram Andrea del Sarto e Franciabigio. ,Outras figuras notáveis que tomariam acomodação no mesmo mosteiro mais tarde incluíram Andrea del Sarto e Franciabigio.,Outras figuras notáveis ​​que se hospedariam no mesmo mosteiro mais tarde incluíram Andrea del Sarto e Franciabigio.,Outras figuras notáveis que mais tarde se hospedariam no mesmo mosteiro foram Andrea del Sarto e Franciabigio.
Text 3,s9,Leonardo's second sojourn in Florence would last three years.,A segunda estada de Leonardo em Florença duraria três anos.,A segunda estadia de Leonardo em Florença duraria três anos.,A segunda estadia de Leonardo em Florença duraria três anos.,A segunda estada de Leonardo em Florença duraria três anos.,A segunda estadia de Leonardo em Florença duraria três anos.
