Text No.,Sentence No.,English source,Professional translation,Student translation,MT0 = M2M100 1.2B,MT1 = Google Translate,MT2 = DeepL
Text 1,s1,You may be suffering lovesickness.,S-ar putea să suferiți de o afecțiune provocată de dragoste. ,S-ar putea să suferiți de boala iubirii.,S-ar putea să suferiți de amorțeală.,Este posibil să suferiți de rău de dragoste.,Este posibil să suferiți de rău de dragoste.
Text 1,s2,Falling in love used to be fun.,Îndrăgostirea ar trebui să fie minunată. ,Îndrăgostirea obișnuia să fie distractivă.,Să te îndrăgostești a fost o distracție.,Să te îndrăgostești înainte era distractiv.,Îndrăgostirea obișnuia să fie distractivă.
Text 1,s3,Now doctors are warning that the throes of passion should be seen as a potentially fatal medical disorder.,"Însă acum, medicii avertizează că suferința provocată de pasiune trebuie văzută ca o tulburare medicală, potențial fatală. ",Acum medicii avertizează că chinurile pasiunii trebuie privite ca o afecțiune medicală potențial fatală. ,"Acum, medicii avertizează că furia pasiunii ar trebui văzută ca o tulburare medicală potențial fatală.","Acum, medicii avertizează că chinurile pasiunii ar trebui privite ca o tulburare medicală potențial fatală.","Acum, medicii ne avertizează că pasiunea ar trebui privită ca o afecțiune medicală potențial fatală."
Text 1,s4,"Psychologists say that ""lovesickness"" is a genuine disease that needs more awareness and diagnosis.",Psihologii susțin că afecțiunea provocată de dragoste este o boală autentică care necesită mai multă atenție și diagnosticare. ,"Psihologii spun că ""boala iubirii"" e o boală adevărată, care are nevoie de mai multă atenție și diagnosticare.","Psihologii spun că ""boli de dragoste"" este o boală autentică care are nevoie de mai multă conștientizare și diagnosticare.",Psihologii spun că „raul de dragoste” este o boală autentică care necesită mai multă conștientizare și diagnosticare.,"Psihologii spun că ""dorul de iubire"" este o boală reală care are nevoie de mai multă conștientizare și diagnosticare."
Text 1,s5,"And those little actions that are normally seen as symptoms of the first flush of love, buying presents, waiting by the phone for a call or making a bit of an effort before a date, may actually be signs of deep-rooted problems to come.","Iar acele gesturi mărunte care în mod normal sunt văzute ca indicii ale îndrăgostirii – cumpărarea de cadouri, așteptarea unui telefon sau un mic efort de dinaintea unei întâlniri – pot fi de fapt semne ale problemelor profunde care urmează să se manifeste.","Iar acele mici chestiuni care în mod normal sunt privite ca simptome a primelor semne de dragoste, cum ar fi cumpăratul cadourilor, așteptarea unui apel sau un mic efort înainte de întâlnire, pot fi de fapt semne ale unor probleme profunde ce vor apărea.","Și acele mici acțiuni care sunt în mod normal văzute ca simptome ale primei flush-uri de dragoste, cumpărarea de cadouri, așteptarea la telefon pentru un apel sau făcând un pic de efort înainte de o întâlnire, pot fi de fapt semne de probleme adânc înrădăcinate care vor veni.","Și acele mici acțiuni care sunt în mod normal văzute ca simptome ale primei înfloriri de dragoste, cumpărarea de cadouri, așteptarea la telefon pentru un apel sau depunerea unui efort înainte de o întâlnire, pot fi de fapt semne ale unor probleme adânc înrădăcinate care vor veni.","Iar acele mici acțiuni care în mod normal sunt văzute ca simptome ale primei explozii de dragoste, cum ar fi cumpărarea cadourilor, așteptarea la telefon pentru un apel sau un mic efort înainte de o întâlnire, pot fi de fapt semne ale unor probleme profunde care urmează să apară."
Text 1,s6,"Frank Tallis, a clinical psychologist in London, examined the historical attitudes to love and mental illness.","Frank Tallis, un psiholog clinician din Londra, a studiat în mod diacronic, atitudinile față de dragoste și tulburările de sănătate mintală. ","Frank Tallis, un psiholog clinic din Londra, a examinat istoricul atitudinilor față de dragoste și boli mintale.","Frank Tallis, un psiholog clinic din Londra, a examinat atitudinile istorice față de dragoste și boli mintale.","Frank Tallis, psiholog clinician din Londra, a examinat atitudinile istorice față de dragoste și boli mintale.","Frank Tallis, un psiholog clinician din Londra, a examinat atitudinile istorice față de dragoste și boli mintale."
Text 1,s7,"Before the 18th century, lovesickness had for thousands of years been accepted a recognised ailment.","Timp de mii de ani până în secolul al XVIII-lea, afecțiunea provocată de dragoste a fost considerată o tulburare. ","Înaintea secolului 18, boala iubirii era considerată timp de mii de ani o adevărată maladie.","Înainte de secolul al XVIII-lea, bolile de dragoste au fost acceptate de mii de ani ca o boală recunoscută.","Înainte de secolul al XVIII-lea, răul de dragoste a fost de mii de ani acceptat ca o boală recunoscută.","Înainte de secolul al XVIII-lea, boala de dragoste fusese acceptată de mii de ani ca o afecțiune recunoscută."
Text 1,s8,"But for the past 200 years it has been out of favour with medical practitioners as a proper diagnosis, Dr Tallis said in a report in The Psychologist magazine.","Dar în ultimii 200 de ani, cei care practică medicina n-au mai asociat-o unui diagnostic propriu-zis, arată dr. Tallis într-un studiu publicat în revista The Psychologist. ","Însă în ultimii 200 de ani medicii preferă să nu stabilească o astfel de diagnoză, a spus doctorul Tallis într-un raport la revista ""The Psychologist"".","Dar în ultimii 200 de ani a fost în favoarea practicienilor medicali ca un diagnostic adecvat, a spus Dr. Tallis într-un raport din revista The Psychologist.","Dar în ultimii 200 de ani a fost din favoarea medicilor ca un diagnostic adecvat, a spus Dr. Tallis într-un raport din revista The Psychologist.","Dar, în ultimii 200 de ani, nu a mai fost apreciată de medicii practicieni ca fiind un diagnostic adecvat, a declarat Dr. Tallis într-un raport publicat în revista The Psychologist."
Text 1,s9,Dr Tallis said modern research suggested that the effects of being lovesick could be described in the latest diagnostic terms.,"Dr. Tallis afirmă că, așa cum sugerează cercetările moderne, efectele afecțiunii provocate de dragoste pot fi exprimate în cei mai moderni termeni de diagnosticare. ",Doctorul Tallis a spus că știința modernă sugerează că efectele bolii dragostei pot fi descrise în termeni de diagnoză contemporană.,Dr. Tallis a spus că cercetările moderne sugerează că efectele de a fi lovesick pot fi descrise în cele mai recente termeni diagnostici.,Dr. Tallis a spus că cercetările moderne sugerează că efectele suferinței de dragoste ar putea fi descrise în cei mai noi termeni de diagnostic.,Dr. Tallis a declarat că cercetările moderne au sugerat că efectele dorinței de iubire pot fi descrise în cei mai noi termeni de diagnosticare.
Text 1,s10,"Symptoms can include mania, such as an elevated mood and inflated self-esteem, or depression, revealing itself as tearfulness and insomnia.","Simptomele pot include stări maniacale, precum surescitarea și stima de sine supradimensionată ori depresia, care se manifestă printr-o tristețe copleșitoare și insomnie.","Simptomele pot include mania, ceea ce înseamnă o dispoziție și o încredere în sine ridicată, și depresia, care se manifestă prin lacrimi și insomnie.","Simptomele pot include mania, cum ar fi o stare de spirit ridicată și stima de sine umflată, sau depresia, care se manifestă ca lacrimă și insomnie.","Simptomele pot include manie, cum ar fi starea de spirit crescută și stima de sine umflată, sau depresia, dezvăluindu-se ca lacrimi și insomnie.","Simptomele pot include mania, cum ar fi o stare de spirit ridicată și o stimă de sine umflată, sau depresia, care se manifestă prin lacrimi și insomnie."
Text 2,s1,One thing that journalism teaches you over the years is that events or incidents are rarely important in themselves.,Unul dintre lucrurile învățate din jurnalism de-a lungul anilor este că evenimentele sau incidentele au rareori o importanță în sine. ,Un lucru pe care te învață jurnalismul de-a lungul anilor este că evenimentele sau incidentele sunt rareori importante în sine.,Un lucru pe care jurnalismul ți-l învață de-a lungul anilor este că evenimentele sau incidentele sunt rareori importante în sine.,Un lucru pe care jurnalismul te învață de-a lungul anilor este că evenimentele sau incidentele sunt rareori importante în sine.,Un lucru pe care jurnalismul te învață de-a lungul anilor este că evenimentele sau incidentele sunt rareori importante în sine.
Text 2,s2,It is when they fit in with general assumptions and trends that they take on meaning.,Acestea capătă semnificație când se potrivesc unor presupuneri generale și unor trenduri. ,Ele capătă sens atunci când se potrivesc cu presupunerile și tendințele generale.,"Atunci când se potrivesc cu ipoteze și tendințe generale, ele își asumă semnificația.",Ele capătă sens atunci când se potrivesc cu ipotezele și tendințele generale.,Ele capătă sens atunci când se potrivesc cu presupunerile și tendințele generale.
Text 2,s3,Globalisation is fine for the financier but it doesn't feel so good to the farmer wiped out by lower-cost imports or the worker whose job has just been replaced by an operation in Bangalore.,"Globalizarea este bună pentru finanțiști, dar nu pare la fel de bună pentru fermieri, care sunt scoşi de pe piață din cauza importurilor la prețuri mici, și nici pentru lucrătorii al căror job tocmai a fost luat de un operator din Bangalore.","Globalizarea le convine finanțiștilor, însă nu și fermierului, distrus de importuri mai ieftine, sau lucrătorului, munca căruia a fost  înlocuită cu o operațiune în Bangalore.","Globalizarea este bine pentru finanțator, dar nu se simte atât de bine pentru fermierul eliminat de importurile mai ieftine sau pentru muncitorul a cărui slujbă tocmai a fost înlocuită de o operațiune în Bangalore.","Globalizarea este în regulă pentru finanțator, dar nu se simte atât de bine pentru fermierul distrus de importurile cu costuri mai mici sau pentru muncitorul al cărui loc de muncă tocmai a fost înlocuit cu o operațiune în Bangalore.","Globalizarea este bună pentru finanțiști, dar nu se simte la fel de bine pentru fermierul distrus de importurile cu costuri mai mici sau pentru muncitorul al cărui loc de muncă tocmai a fost înlocuit de o operațiune din Bangalore."
Text 2,s4,And the same is happening to China now.,Același lucru se întâmplă acum în China. ,Același lucru se întâmplă în China acum.,Același lucru se întâmplă și în China acum.,Și la fel se întâmplă și cu China acum.,Același lucru se întâmplă acum cu China.
