Text No.,Sentence No.,English source,Professional translation,Student translation,MT0 = M2M100 1.2B,MT1 = Google Translate,MT2 = DeepL
Text 1,s1,You may be suffering lovesickness.,"Возможно, вы страдаете от любовной тоски. ","Возможно, вы страдаете от любовной тоски.","Возможно, вы страдаете от любовных расстройств.",Вы можете страдать от любовной тоски.,"Возможно, вы страдаете от любовной тоски."
Text 1,s2,Falling in love used to be fun.,Раньше влюбляться было приятно. ,Раньше влюбляться было приятно.,Влюбляться раньше было весело.,Раньше влюбляться было весело.,Раньше влюбленность была забавой.
Text 1,s3,Now doctors are warning that the throes of passion should be seen as a potentially fatal medical disorder.,"Теперь врачи предупреждают, что любовные муки могут оказаться потенциально смертельным заболеванием. ","Теперь врачи предупреждают, что приступы страсти следует рассматривать как потенциально смертельное медицинское расстройство.","Сейчас врачи предупреждают, что гнев страсти следует рассматривать как потенциально смертельное медицинское расстройство.","Теперь врачи предупреждают, что приступы страсти следует рассматривать как потенциально смертельное заболевание.","Теперь врачи предупреждают, что муки страсти следует рассматривать как потенциально смертельное медицинское расстройство."
Text 1,s4,"Psychologists say that ""lovesickness"" is a genuine disease that needs more awareness and diagnosis.","Психологи говорят, что ""любовная тоска"" — это самая настоящая болезнь, о которой нужно больше рассказывать и тщательнее диагностировать. ","Психологи утвеждают, что ""любовная тоска"" - это настоящее заболевание, которое нуждается в большей осведомленности со стороны врачей и общества.","Психологи говорят, что «любовная болезнь» — это настоящая болезнь, которая нуждается в большем осознании и диагностике.","Психологи говорят, что ""любовная тоска"" — это настоящая болезнь, которая требует большей осведомленности и диагностики.","Психологи говорят, что ""любовная тоска"" - это настоящая болезнь, которая нуждается в более глубоком осознании и диагностике."
Text 1,s5,"And those little actions that are normally seen as symptoms of the first flush of love, buying presents, waiting by the phone for a call or making a bit of an effort before a date, may actually be signs of deep-rooted problems to come.","И что все те мелочи, которые обычно считают первыми признаками влюбленности — подарки, ожидание звонка у телефона, подготовка к свиданию — могут на самом деле свидетельствовать о глубоких проблемах.","И те незначительные поступки, которые мы обычно совершаем, когда влюбляемся – например, покупка подарков, ожидание у телефона или подготовка к свиданию, - на самом деле могут являться предвестниками глубоко укоренившихся проблем в будущем.","И те маленькие действия, которые обычно рассматриваются как симптомы первой любви, покупки подарков, ожидания по телефону для звонка или небольшого усилия перед свиданием, на самом деле могут быть признаками глубоко укоренившихся проблем.","И те небольшие действия, которые обычно рассматриваются как симптомы первой любви, покупка подарков, ожидание звонка по телефону или небольшое усилие перед свиданием, на самом деле могут быть признаками грядущих глубоко укоренившихся проблем.","И те маленькие действия, которые обычно рассматриваются как симптомы первого прилива любви: покупка подарков, ожидание телефонного звонка или небольшие усилия перед свиданием, - на самом деле могут быть признаками грядущих глубоко укоренившихся проблем."
Text 1,s6,"Frank Tallis, a clinical psychologist in London, examined the historical attitudes to love and mental illness.","Клинический психолог из Лондона Франк Таллис изучил, как в ходе истории менялось отношение к любви и психическим расстройствам. ","Фрэнк Таллис, клинический психолог из Лондона, изучил историю отношения к любви и психическим заболеваниям.","Фрэнк Таллис, клинический психолог из Лондона, изучил исторические отношения к любви и психическим заболеваниям.","Фрэнк Таллис, клинический психолог из Лондона, исследовал историческое отношение к любви и психическим заболеваниям.","Фрэнк Таллис, клинический психолог из Лондона, изучил историческое отношение к любви и психическим заболеваниям."
Text 1,s7,"Before the 18th century, lovesickness had for thousands of years been accepted a recognised ailment.","""На протяжении тысяч лет и до XVIII века любовную тоску считали самой настоящей болезнью. ",До 18-го века любовная тоска на протяжении тысячелетий считалась общепризнанным недугом.,До 18 века болезнь любви была признана признанной болезнью на протяжении тысяч лет.,До 18 века любовная тоска на протяжении тысячелетий считалась признанным недугом.,До XVIII века любовная тоска на протяжении тысячелетий считалась признанным недугом.
Text 1,s8,"But for the past 200 years it has been out of favour with medical practitioners as a proper diagnosis, Dr Tallis said in a report in The Psychologist magazine.","Но за последние 200 лет такой диагноз оказался в немилости у практикующих врачей"", — заявил доктор Таллис в отчете для ""Сайколоджист Мэгэзин"". ","Но исходя из доклада доктора Таллиса в журнале ""Психолог"", за последние 200 лет она перестала восприниматься врачами как допустимый диагноз.","Но в течение последних 200 лет это было в пользу врачей как правильный диагноз, доктор Таллис сказал в отчете в журнале The Psychologist.","Но в течение последних 200 лет практикующие врачи считали его неправильным диагнозом, сказал доктор Таллис в своем отчете в журнале The Psychologist.","Но за последние 200 лет она перестала восприниматься врачами как правильный диагноз, сказал доктор Таллис в своем докладе в журнале ""Психолог""."
Text 1,s9,Dr Tallis said modern research suggested that the effects of being lovesick could be described in the latest diagnostic terms.,"Он сказал, что проявления влюбленности можно изложить современной терминологией, которой описывают симптомы заболевания. ","По словам доктора Таллиса, современные исследования показывают, что последствия любовной тоски могут быть описаны в современных диагностических терминах.","Доктор Таллис сказал, что современные исследования показывают, что последствия болезни могут быть описаны в новейших диагностических терминах.","Доктор Таллис сказал, что современные исследования показывают, что последствия любовной тоски можно описать с помощью новейших диагностических терминов.","По словам доктора Таллиса, современные исследования показывают, что последствия влюбленности могут быть описаны в самых современных диагностических терминах."
Text 1,s10,"Symptoms can include mania, such as an elevated mood and inflated self-esteem, or depression, revealing itself as tearfulness and insomnia.","Среди ее симптомов можно назвать периоды мании (к примеру, в виде повышенного настроения и раздутого самолюбия) и депрессии, которая проявляется через плаксивость и бессонницу.","Симптомы могут включать такие проявления одержимости, как приподнятое настроение и завышенная самооценка, или депрессия, проявляющаяся в плаксивости и бессоннице.","Симптомы могут включать в себя манию, такую как повышенное настроение и повышенная самооценка, или депрессию, проявляющуюся как слезотечение и бессонница.","Симптомы могут включать манию, например повышенное настроение и завышенную самооценку, или депрессию, проявляющуюся плаксивостью и бессонницей.","Симптомы могут включать манию, например, приподнятое настроение и завышенную самооценку, или депрессию, проявляющуюся в слезливости и бессоннице."
Text 2,s1,One thing that journalism teaches you over the years is that events or incidents are rarely important in themselves.,За долгие годы работы в журналистике понимаешь одну вещь: события сами по себе редко бывают важными. ,"Главное, чему на протяжении лет вас учат журналисты - это то, что события или происшествия редко бывают важны сами по себе.","Одна вещь, которую журналистика учит вас на протяжении многих лет, это то, что события или инциденты редко имеют значение сами по себе.","Одна вещь, которой журналистика учит вас с годами, заключается в том, что события или инциденты редко бывают важными сами по себе.","Одна вещь, которой журналистика учит вас на протяжении многих лет, заключается в том, что события или происшествия редко бывают важны сами по себе."
Text 2,s2,It is when they fit in with general assumptions and trends that they take on meaning.,"Они приобретают значимость, когда вписываются в общие тенденции и динамику. ","Они приобретают смысл только тогда, когда взаимодействуют с общественным мнением и тенденциями.","Именно тогда, когда они соответствуют общим предположениям и тенденциям, они приобретают смысл.","Только когда они соответствуют общим предположениям и тенденциям, они обретают смысл.","Только когда они вписываются в общие предположения и тенденции, они обретают смысл."
