Text No.,Sentence No.,English source,Professional translation,Student translation,MT0 = M2M100 1.2B,MT1 = Google Translate,MT2 = <DeepL>
Text 1,s1,You may be suffering lovesickness.,Kara sevdaya yakalanmış olabilirsiniz. ,Kara sevdaya tutulmuş olabilirsiniz.,Belki aşk acı çekiyorsunuzdur.,Aşk acısı çekiyor olabilirsiniz.,Aşk acısı çekiyor olabilirsiniz.
Text 1,s2,Falling in love used to be fun.,Eskiden âşık olmak eğlenceliydi. ,Aşık olmak eskiden eğlenceli bir şeydi.,Aşık olmak eskiden çok eğlenceliydi.,Aşık olmak eskiden eğlenceliydi.,Aşık olmak eskiden eğlenceliydi.
Text 1,s3,Now doctors are warning that the throes of passion should be seen as a potentially fatal medical disorder.,"Günümüzde ise doktorlar, tutkuyla kıvranmanın ölümcül bir tıbbi bozukluk olabileceği konusunda bizleri uyarıyor. ","Şimdiyse doktorlar, aşırı tutkunun ölüm riski taşıyan bir hastalık olarak görülebileceği konusunda uyarıyor.","Şimdi doktorlar, tutkuların şiddetinin potansiyel olarak ölümcül bir tıbbi bozukluk olarak görülmesi gerektiğini uyarıyor.","Şimdi doktorlar, tutku sancılarının potansiyel olarak ölümcül bir tıbbi hastalık olarak görülmesi gerektiği konusunda uyarıyorlar.","Şimdi doktorlar, tutku sancılarının potansiyel olarak ölümcül bir tıbbi bozukluk olarak görülmesi gerektiği konusunda uyarıyor."
Text 1,s4,"Psychologists say that ""lovesickness"" is a genuine disease that needs more awareness and diagnosis.","Psikologlara göre ""kara sevda"" daha fazla farkındalığa ve teşhise ihtiyaç duyan gerçek bir hastalık. ","Psikologlara göre, “kara sevda” farkına varılması ve teşhis edilmesi gereken gerçek bir hastalık.",Psikologlar “aşk hastalığı”nın daha fazla farkındalık ve teşhis gerektiren gerçek bir hastalık olduğunu söylüyorlar.,"Psikologlar, ""aşk acısı"" nın daha fazla farkındalık ve teşhis gerektiren gerçek bir hastalık olduğunu söylüyor.","Psikologlar ""aşk hastalığının"" daha fazla farkındalık ve teşhis gerektiren gerçek bir hastalık olduğunu söylüyor."
Text 1,s5,"And those little actions that are normally seen as symptoms of the first flush of love, buying presents, waiting by the phone for a call or making a bit of an effort before a date, may actually be signs of deep-rooted problems to come.","Hediyeler almak, telefonun başında beklemek veya bir randevu öncesi üstümüze başımıza çekidüzen vermek gibi normalde âşkın ilk belirtileri olarak görülen eylemler, yaklaşan derin sorunların habercisi olabilir.","Ayrıca, hediye almak, telefonun başında aranmayı beklemek veya buluşmadan önce az da olsa çaba sarf etmek gibi normalde aşkın ilk belirtileri olarak görülen hareketler, kişinin derinliklerinde yatan sorunların ortaya çıkacağının göstergesi de olabilir.","Ve normalde ilk aşk kokusunun semptomları olarak görülen bu küçük eylemler, hediyeler satın almak, bir çağrı için telefon beklemek veya bir tarihten önce biraz çaba harcamak, aslında gelmekte olan derin sorunların belirtileri olabilir.","Ve normalde ilk aşk patlaması olarak görülen o küçük hareketler, hediye almak, telefon başında arama beklemek veya bir randevu öncesi biraz çaba göstermek, aslında ileride yaşanacak köklü sorunların işareti olabilir.","Ve normalde aşkın ilk heyecanının belirtileri olarak görülen küçük eylemler, hediye almak, telefonun başında aranmayı beklemek ya da bir randevudan önce biraz çaba sarf etmek, aslında köklü sorunların geleceğinin işaretleri olabilir."
Text 1,s6,"Frank Tallis, a clinical psychologist in London, examined the historical attitudes to love and mental illness.","Londralı klinik psikolog Frank Tallis, aşka ve ruhsal bozukluklara tarihsel yaklaşımı inceleyerek bulgularını The Psychologist adlı dergide yayınladı. ","Londra’da klinik psikolog olarak çalışan Frank Tallis, aşk ve akıl hastalığına ilişkin tarihte süregelen bakış açılarını inceledi. ","Londra’daki klinik psikolog Frank Tallis, aşk ve zihinsel hastalıkla ilgili tarihsel tutumları inceledi.","Londra'da bir klinik psikolog olan Frank Tallis, aşka ve akıl hastalığına karşı tarihsel tutumları inceledi.","Londra'da bir klinik psikolog olan Frank Tallis, aşk ve akıl hastalığına yönelik tarihsel tutumları inceledi."
Text 1,s7,"Before the 18th century, lovesickness had for thousands of years been accepted a recognised ailment.","Dr. Tallis'in bulgularına göre 18. yüzyıl öncesinde kara sevda, binlerce yıl boyunca bir hastalık olarak kabul edilmekteydi. ","Kara sevda, 18’inci yüzyıldan önce, binlerce yıldır bilinen bir hastalık olarak kabul ediliyordu.","18. yüzyıldan önce, aşk hastalığı binlerce yıldır tanınmış bir hastalık olarak kabul edilmişti.","18. yüzyıldan önce, aşk acısı binlerce yıldır bilinen bir hastalık olarak kabul edilmişti.","18. yüzyıldan önce, aşk hastalığı binlerce yıldır tanınan bir hastalık olarak kabul ediliyordu."
Text 1,s8,"But for the past 200 years it has been out of favour with medical practitioners as a proper diagnosis, Dr Tallis said in a report in The Psychologist magazine.",Ancak son 200 yılda doktorlar bu teşhisi koymamaya başladı. ,"Ancak Dr. Tallis, The Psychologist dergisinde yayınlanan bir raporunda, bu hastalığın uygun bir şekilde teşhis edilemediği için son 200 yıldır tıp pratisyenlerinin kapsamı dışında kaldığını belirtiyor.","Ancak son 200 yıldır tıp uzmanları tarafından doğru bir teşhis olarak tercih edilmektedir, Dr. Tallis, The Psychologist dergisinde yayınlanan bir raporda söyledi.","Ancak Dr Tallis, The Psychoologist dergisinde yayınlanan bir haberde, son 200 yıldır tıp doktorlarının uygun bir teşhis olarak gözünden düştüğünü söyledi.","Ancak Dr. Tallis, The Psychologist dergisinde yayınlanan bir raporda, son 200 yıldır tıp pratisyenleri tarafından doğru bir teşhis olarak kabul edilmediğini söyledi."
Text 1,s9,Dr Tallis said modern research suggested that the effects of being lovesick could be described in the latest diagnostic terms.,"Dr. Tallis'e göre modern araştırmalar, kara sevdanın etkilerinin en yeni teşhisler çerçevesinde açıklanabileceğini gösteriyor. ","Dr. Tallis, modern araştırmaların, kara sevdaya tutulmanın etkilerinin en son teşhis terimleriyle açıklanabileceğini öne sürdüğünü söyledi.","Dr. Tallis, modern araştırmalar, aşk hastalığının etkilerinin en son teşhis terimlerinde tarif edilebileceğini öne sürdü.","Dr Tallis, modern araştırmaların aşk hastası olmanın etkilerinin en son teşhis terimleriyle açıklanabileceğini öne sürdüğünü söyledi.","Dr. Tallis, modern araştırmaların aşk acısı çekmenin etkilerinin en son teşhis terimleriyle tanımlanabileceğini gösterdiğini söyledi."
Text 1,s10,"Symptoms can include mania, such as an elevated mood and inflated self-esteem, or depression, revealing itself as tearfulness and insomnia.",Kara sevdanın belirtileri arasında coşkulu bir ruh hâli ve artan öz güven gibi şekillerde ortaya çıkan mani veya göz yaşları ve uykusuzlukla kendini gösteren depresyon bulunabilir.,"Semptomlar arasında; cinnet, yani yoğunlaşmış ruh hali ve bayağılaşmış özgüven ya da kendini gözyaşları ve uykusuzlukla belli eden depresyon gözlemlenebilir.","Belirtiler, yüksek bir ruh hali ve şişmiş özgüven gibi manya veya depresyon içerebilir, kendisini gözyaşları ve uykusuzluk olarak ortaya çıkarır.","Semptomlar, yüksek bir ruh hali ve şişirilmiş benlik saygısı gibi maniyi veya kendisini ağlamaklılık ve uykusuzluk olarak gösteren depresyonu içerebilir.",Belirtiler arasında yüksek bir ruh hali ve şişirilmiş özgüven gibi mani veya ağlama ve uykusuzluk olarak kendini gösteren depresyon yer alabilir.
