Text No.,Sentence No.,English source,Professional translation,Student translation,MT0 = M2M100 1.2B,MT1 = Google Translate,MT2 = DeepL
Text 1,s1,You may be suffering lovesickness.,"Можливо, ви страждаєте від любовної туги. ","Можливо, ви страждаєте від любовної туги, самі того не усвідомлюючи.","Можливо, ви страждаєте від кохання.","Можливо, вас мучить любов.","Можливо, ви страждаєте від любовної туги."
Text 1,s2,Falling in love used to be fun.,Колись закохуватися було весело. ,"Раніше вважалося, що закоханість — це чудово.",Колись закохуватися було весело.,Раніше закохуватися було весело.,Колись закохуватися було весело.
Text 1,s3,Now doctors are warning that the throes of passion should be seen as a potentially fatal medical disorder.,"Зараз лікарі попереджають, що муки пристрасті слід розглядати як потенційно смертельний розлад. ","Однак тепер лікарі застерігають, що агонії пристрасті слід розглядати як потенційно згубний медичний розлад.","Зараз лікарі попереджають, що страждання від пристрасті слід розглядати як потенційно смертельний медичний розлад.","Зараз лікарі попереджають, що муки пристрасті слід розглядати як потенційно смертельне захворювання.","Зараз лікарі попереджають, що муки пристрасті слід розглядати як потенційно смертельний медичний розлад."
Text 1,s4,"Psychologists say that ""lovesickness"" is a genuine disease that needs more awareness and diagnosis.","Психологи кажуть, що ""любовна туга"" — це справжня хвороба, яка потребує більшої обізнаності й діагностування. ","Психологи стверджують, що ""любовна туга"" — справжнє захворювання, яке потребує більше уваги й діагностики.","Психологи кажуть, що ""любовне захворювання"" є справжньою хворобою, яка потребує більшої обізнаності і діагностики.","Психологи кажуть, що ""тоща за коханням"" — це справжня хвороба, яка потребує більшої обізнаності та діагностики.","Психологи кажуть, що ""закоханість"" - це справжня хвороба, яка потребує більшої обізнаності та діагностики."
Text 1,s5,"And those little actions that are normally seen as symptoms of the first flush of love, buying presents, waiting by the phone for a call or making a bit of an effort before a date, may actually be signs of deep-rooted problems to come.","І ті маленькі вчинки, які зазвичай розглядаються як симптоми першого припливу закоханості, як-от купівля подарунків, очікування дзвінка біля телефону або підготовка до побачення, насправді можуть бути ознаками майбутніх глибоко вкорінених проблем.","І всі ті маленькі звички, які зазвичай вважаються симптомами спалаху кохання — коли ти купуєш подарунки для когось, чекаєш, поки ця людина зателефонує, або ж причепурюєшся перед побаченням — насправді можуть бути ознаками глибших проблем, які виявляться пізніше.","І ті дрібні дії, які зазвичай розглядаються як симптоми першого кохання, покупки подарунків, чекання за телефоном на дзвінок або робити трохи зусиль перед побаченням, насправді можуть бути ознаками глибоко вкорінених проблем.","І ті маленькі дії, які зазвичай сприймаються як симптоми першого спалаху кохання, купівля подарунків, очікування дзвінка біля телефону або докладання трохи зусиль перед побаченням, насправді можуть бути ознаками глибоко вкорінених проблем.","І ті маленькі вчинки, які зазвичай розглядаються як симптоми першого припливу закоханості, купівля подарунків, очікування дзвінка біля телефону або невеликі зусилля перед побаченням, насправді можуть бути ознаками глибоко вкорінених проблем, які прийдуть у майбутньому."
Text 1,s6,"Frank Tallis, a clinical psychologist in London, examined the historical attitudes to love and mental illness.","Френк Талліс, клінічний психолог із Лондона, дослідив історичне ставлення до кохання та психічних захворювань. ","Френк Талліс, клінічний психолог з Лондона, проаналізував різні ставлення до кохання та психічних захворювань в історії людства.","Френк Талліс, клінічний психолог з Лондона, досліджував історичне ставлення до любові та психічних захворювань.","Френк Талліс, клінічний психолог із Лондона, дослідив історичне ставлення до кохання та психічних захворювань.","Френк Талліс, клінічний психолог з Лондона, дослідив історичне ставлення до кохання та психічних захворювань."
Text 1,s7,"Before the 18th century, lovesickness had for thousands of years been accepted a recognised ailment.",До XVIII століття любовна туга тисячоліттями вважалася визнаною хворобою. ,До XVIII століття любовна туга протягом тисячі років загальноприйнято вважалася хворобою.,До 18 століття кохання протягом тисяч років вважалося визнаною хворобою.,До XVIII століття туга за коханням тисячоліттями вважалася визнаною хворобою.,До 18 століття закоханість тисячоліттями вважалася визнаною хворобою.
Text 1,s8,"But for the past 200 years it has been out of favour with medical practitioners as a proper diagnosis, Dr Tallis said in a report in The Psychologist magazine.","Але протягом останніх 200 років вона не розглядалася серед лікарів як дійсний діагноз, про що каже д-р Талліс у своїй доповіді в журналі The Psychologist. ","Але в останні 200 років лікарі не сприймали її як належний діагноз, зазначив доктор Талліс у звіті для журналу ""The Psychologist"".","Але протягом останніх 200 років це було не на користь медичним працівникам як правильний діагноз, сказав доктор Талліс у звіті в журналі The Psychologist.","Але протягом останніх 200 років це не було в прихильності лікарів як правильний діагноз, сказав доктор Талліс у звіті в журналі The Psychologist.","Але протягом останніх 200 років цей діагноз не користувався популярністю серед лікарів як належний діагноз, зазначив д-р Талліс у своїй доповіді в журналі ""Психолог""."
Text 1,s9,Dr Tallis said modern research suggested that the effects of being lovesick could be described in the latest diagnostic terms.,"Доктор Талліс зазначив: сучасні дослідження свідчать про те, що наслідки любовної туги можуть бути описані новітніми діагностичними термінами. ","За словами доктора Талліса, сучасні дослідження показують, що вплив любовної туги можна описати найсучаснішими діагностичними термінами.","Доктор Талліс сказав, що сучасні дослідження припускають, що наслідки любові можна описати в останніх діагностичних термінах.","Доктор Талліс сказав, що сучасні дослідження показують, що наслідки любовної туги можна описати в новітніх діагностичних термінах.","Доктор Талліс зазначив, що сучасні дослідження свідчать про те, що наслідки закоханості можуть бути описані в новітніх діагностичних термінах."
Text 1,s10,"Symptoms can include mania, such as an elevated mood and inflated self-esteem, or depression, revealing itself as tearfulness and insomnia.","Симптоми можуть включати манію, наприклад, підвищений настрій і завищену самооцінку, або депресію, що проявляється плаксивістю й безсонням.","До симптомів належать манія, зокрема піднесений настрій і роздута самооцінка, або депресія, яка проявляється в плаксивості та безсонні.","Симптоми можуть включати манію, такі як підвищений настрій і набряклість самооцінки, або депресію, що виявляється як сльозоподібність і безсоння.","Симптоми можуть включати манію, наприклад піднесений настрій і завищену самооцінку, або депресію, яка проявляється як плаксивість і безсоння.","Симптоми можуть включати манію, наприклад, підвищений настрій і завищену самооцінку, або депресію, що проявляється плаксивістю і безсонням."
